Data Format: 
75,1/26/14 18:30:00,-888.880,1.8,-0.204,0.006,1.,5.4,10.3,225.,18.43,52.0,3.74,29.16,0.00,4.43
76,1/26/14 18:45:00,-888.880,1.8,-0.204,0.006,1.,7.2,12.1,218.,18.30,53.4,4.21,29.10,0.00,4.43
77,1/26/14 19:00:00,-888.880,2.4,-0.204,0.006,1.,5.4,11.2,209.,18.25,55.0,4.80,28.99,0.00,4.39
78,1/26/14 19:15:00,-888.880,2.9,-0.204,0.006,1.,5.4,11.2,212.,18.30,56.9,5.58,28.99,0.00,4.42
79,1/26/14 19:30:00,-888.880,2.9,-0.204,0.006,1.,5.8,10.7,216.,18.36,58.0,6.06,28.99,0.00,4.42
80,1/26/14 19:45:00,-888.880,2.9,-0.204,0.006,1.,4.9,11.2,213.,18.36,59.0,6.42,29.05,0.00,4.42
81,1/26/14 20:00:00,-888.880,2.9,-0.204,0.006,1.,5.4,10.3,215.,18.48,60.1,6.94,29.05,0.00,4.38
82,1/26/14 20:15:00,-888.880,4.7,-0.204,0.006,1.,5.4,9.6,208.,18.59,61.3,7.48,29.10,0.00,4.39
83,1/26/14 20:30:00,-888.880,5.3,-0.204,0.006,1.,4.9,11.2,205.,18.72,62.9,8.17,29.10,0.00,4.39
84,1/26/14 20:45:00,-888.880,5.9,-0.204,0.006,1.,4.9,10.3,208.,18.95,64.1,8.82,29.10,0.00,4.39
85,1/26/14 21:00:00,-888.880,7.1,-0.204,0.006,1.,5.4,10.1,213.,19.13,64.9,9.27,29.19,0.00,4.36
86,1/26/14 21:15:00,-888.880,8.2,-0.204,0.006,1.,4.9,10.7,205.,19.18,65.8,9.63,29.19,0.00,4.38
87,1/26/14 21:30:00,-888.880,10.0,-0.204,0.006,1.,4.3,10.3,211.,19.35,66.7,10.08,29.25,0.00,4.39
88,1/26/14 21:45:00,-888.880,12.4,-0.204,0.006,1.,4.9,10.7,206.,19.71,67.5,10.69,29.25,0.00,4.39
89,1/26/14 22:00:00,-888.880,14.1,-0.204,0.006,1.,3.8,7.4,197.,19.81,67.9,10.92,29.30,0.00,4.35
90,1/26/14 22:15:00,-888.880,17.1,-0.204,0.006,1.,3.4,7.4,202.,19.92,68.3,11.16,29.46,0.00,4.36
91,1/26/14 22:30:00,-888.880,18.8,-0.204,0.006,1.,3.4,7.8,188.,19.99,68.7,11.35,29.46,0.00,4.38
92,1/26/14 22:45:00,-888.880,34.7,-0.204,0.006,1.,3.4,6.7,177.,20.10,69.1,11.59,29.52,0.00,4.38
93,1/26/14 23:00:00,-888.880,31.8,-0.204,0.006,1.,2.9,9.2,161.,20.10,69.8,11.82,29.66,0.00,4.35
94,1/26/14 23:15:00,-888.880,32.9,-0.204,0.006,1.,2.9,6.7,160.,20.05,70.3,11.93,29.71,0.00,4.36
95,1/26/14 23:30:00,-888.880,40.0,-0.204,0.006,1.,2.9,5.8,163.,20.21,70.8,12.25,29.71,0.00,4.36
96,1/26/14 23:45:00,-888.880,42.9,-0.204,0.006,1.,2.5,6.7,170.,20.50,71.0,12.60,29.71,0.00,4.37
97,1/27/14 00:00:00,-888.880,45.9,-0.204,0.006,1.,2.0,6.7,174.,20.61,71.3,12.79,29.82,0.00,4.34
98,1/27/14 00:15:00,-888.880,54.7,-0.204,0.006,1.,2.9,7.4,178.,20.68,71.6,12.96,29.82,0.00,4.36
99,1/27/14 00:30:00,-888.880,62.9,-0.204,0.006,1.,1.6,5.4,173.,20.89,72.1,13.32,29.91,0.00,4.36
100,1/27/14 00:45:00,-888.880,61.8,-0.204,0.006,1.,1.3,3.8,190.,21.07,72.4,13.59,29.97,0.00,4.36
101,1/27/14 01:00:00,-888.880,70.0,-0.204,0.006,1.,2.0,4.5,181.,21.24,72.7,13.84,30.07,0.00,4.34
102,1/27/14 01:15:00,-888.880,75.9,-0.204,0.006,1.,1.3,2.9,178.,21.47,73.1,14.18,30.18,0.00,4.35
103,1/27/14 01:30:00,-888.880,83.5,-0.204,0.006,1.,0.9,2.9,180.,21.63,73.4,14.43,30.22,0.00,4.36
104,1/27/14 01:45:00,-888.880,82.4,-0.204,0.006,1.,1.6,2.9,177.,21.74,73.6,14.61,30.33,0.00,4.36
105,1/27/14 02:00:00,-888.880,83.5,-0.204,0.006,1.,0.4,1.6,170.,21.85,73.9,14.81,30.47,0.00,4.34
106,1/27/14 02:15:00,-888.880,87.6,-0.204,0.006,1.,0.0,2.0,170.,22.03,74.0,15.01,30.63,0.00,4.35
107,1/27/14 02:30:00,-888.880,86.5,-0.204,0.006,1.,0.4,1.6,170.,22.14,74.1,15.13,30.69,0.00,4.36
108,1/27/14 02:45:00,-888.880,89.4,-0.204,0.006,1.,1.3,2.5,170.,22.19,74.3,15.26,30.69,0.00,4.36
109,1/27/14 03:00:00,-888.880,91.2,-0.204,0.006,1.,2.0,3.4,125.,22.41,74.5,15.53,30.74,0.00,4.34
110,1/27/14 03:15:00,-888.880,92.4,-0.204,0.006,1.,0.4,2.0,81.,22.75,74.6,15.89,30.78,0.00,4.35
111,1/27/14 03:30:00,-888.880,100.0,-0.204,0.006,1.,0.0,0.0,81.,22.69,74.7,15.87,30.83,0.00,4.36
112,1/27/14 03:45:00,-888.880,100.0,-0.204,0.006,1.,0.4,2.5,81.,22.24,74.8,15.46,30.83,0.00,4.36
113,1/27/14 04:00:00,-888.880,100.0,-0.204,0.006,1.,0.9,2.5,81.,22.08,75.0,15.37,30.69,0.00,4.34
114,1/27/14 04:15:00,-888.880,100.0,-0.204,0.006,1.,0.4,1.6,81.,22.35,75.4,15.75,30.58,0.00,4.35
115,1/27/14 04:30:00,-888.880,100.0,-0.204,0.006,1.,0.0,0.9,81.,22.30,75.8,15.82,30.69,0.00,4.35
116,1/27/14 04:45:00,-888.880,100.0,-0.204,0.006,1.,0.0,0.0,81.,22.80,76.2,16.43,30.88,0.00,4.36
117,1/27/14 05:00:00,-888.880,100.0,-0.204,0.006,1.,2.0,5.4,117.,23.18,77.0,17.04,30.78,0.00,4.34
118,1/27/14 05:15:00,-888.880,100.0,-0.204,0.006,1.,2.5,5.4,135.,22.91,78.2,17.13,30.69,0.00,4.35
119,1/27/14 05:30:00,-888.880,100.0,-0.204,0.006,1.,1.6,8.3,175.,26.38,79.6,20.93,30.74,0.00,4.35
120,1/27/14 05:45:00,-888.880,100.0,-0.204,0.006,1.,3.4,8.3,251.,26.91,81.9,22.12,30.83,0.00,4.35
121,1/27/14 06:00:00,-888.880,100.0,-0.204,0.006,1.,3.4,7.2,222.,27.75,84.3,23.63,30.88,0.00,4.34
122,1/27/14 06:15:00,-888.880,100.0,-0.204,0.006,1.,2.9,5.8,208.,29.82,85.9,26.11,30.94,0.00,4.35
123,1/27/14 06:30:00,-888.880,100.0,-0.204,0.006,1.,1.6,5.8,222.,29.52,86.5,25.99,31.08,0.00,4.35
124,1/27/14 06:45:00,-888.880,100.0,-0.204,0.006,1.,1.6,4.5,201.,30.83,87.4,27.52,31.19,0.00,4.35
125,1/27/14 07:00:00,-888.880,100.0,-0.204,0.006,2.,2.0,6.7,204.,33.73,88.6,30.72,31.33,0.00,4.36
126,1/27/14 07:15:00,-888.880,100.0,-0.204,0.006,6.,2.9,9.6,180.,34.47,88.8,31.50,31.59,0.00,4.35
127,1/27/14 07:30:00,-888.880,100.0,-0.204,0.006,38.,2.0,6.3,178.,35.83,88.9,32.88,31.69,0.00,4.36
128,1/27/14 07:45:00,-888.880,100.0,-0.204,0.006,47.,4.3,9.2,190.,38.37,86.9,34.83,32.00,0.00,4.39
129,1/27/14 08:00:00,-888.880,100.0,-0.204,0.006,81.,6.3,16.6,192.,40.91,80.2,35.29,32.34,0.00,4.42
130,1/27/14 08:15:00,-888.880,100.0,-0.204,0.006,113.,7.2,15.4,199.,42.30,75.3,35.06,34.57,0.00,4.51
131,1/27/14 08:30:00,29.492,45.3,-0.204,0.006,234.,8.3,17.9,194.,43.90,72.4,35.62,39.97,0.00,4.54
132,1/27/14 08:45:00,29.441,26.5,-0.204,0.006,216.,9.2,18.3,199.,44.53,69.3,35.11,44.31,0.00,4.55
133,1/27/14 09:00:00,29.436,24.7,-0.204,0.006,204.,9.6,19.5,192.,45.21,67.8,35.22,45.66,0.00,4.54
134,1/27/14 09:15:00,29.433,28.2,-0.204,0.006,158.,10.7,21.9,204.,45.39,67.6,35.33,46.08,0.00,4.55
135,1/27/14 09:30:00,29.438,30.0,-0.204,0.006,142.,9.6,19.5,208.,45.48,67.7,35.44,44.67,0.00,4.59
136,1/27/14 09:45:00,29.436,30.6,-0.204,0.006,109.,10.7,21.3,208.,45.30,67.6,35.24,43.39,0.00,4.55
137,1/27/14 10:00:00,29.438,28.8,-0.204,0.006,117.,9.6,20.4,213.,45.57,67.5,35.46,43.21,0.00,4.54
138,1/27/14 10:15:00,29.441,100.0,-0.204,0.006,136.,8.7,19.9,219.,45.75,67.0,35.44,42.98,0.00,4.54
139,1/27/14 10:30:00,29.438,100.0,-0.204,0.006,88.,10.1,20.4,223.,44.94,68.6,35.26,43.30,0.00,4.55
140,1/27/14 10:45:00,29.436,100.0,-0.204,0.006,131.,9.2,19.5,226.,44.08,72.8,35.92,45.30,0.00,4.55
141,1/27/14 11:00:00,29.427,100.0,-0.204,0.006,134.,8.7,16.6,220.,44.13,75.5,36.90,47.79,0.00,4.54
142,1/27/14 11:15:00,29.418,100.0,-0.204,0.006,107.,7.8,19.5,219.,44.31,75.5,37.08,48.40,0.00,4.55
143,1/27/14 11:30:00,29.409,100.0,-0.204,0.006,78.,9.2,19.0,223.,44.64,73.6,36.73,46.98,0.00,4.55
144,1/27/14 11:45:00,29.400,100.0,-0.204,0.006,106.,7.8,15.0,216.,43.90,75.0,36.50,48.67,0.00,4.56
145,1/27/14 12:00:00,29.388,100.0,-0.204,0.006,93.,8.3,17.0,220.,44.04,76.8,37.24,50.67,0.00,4.59
146,1/27/14 12:15:00,29.391,100.0,-0.204,0.006,64.,9.6,21.3,226.,43.21,78.2,36.90,52.90,0.01,4.55
147,1/27/14 12:30:00,29.388,100.0,-0.204,0.006,82.,9.2,22.8,225.,42.98,80.4,37.38,59.23,0.00,4.56
148,1/27/14 12:45:00,29.379,38.2,-0.204,0.006,126.,8.3,17.0,229.,43.57,81.4,38.26,62.10,0.00,4.56
149,1/27/14 13:00:00,29.385,23.5,-0.204,0.006,139.,7.8,15.4,234.,43.63,81.2,38.26,59.79,0.00,4.54
150,1/27/14 13:15:00,29.391,18.2,-0.204,0.006,197.,8.7,17.9,232.,43.86,79.6,37.98,55.56,0.00,4.56
151,1/27/14 13:30:00,29.391,17.6,-0.204,0.006,139.,9.6,18.6,232.,43.72,77.5,37.17,52.65,0.00,4.56
152,1/27/14 13:45:00,29.394,15.9,-0.204,0.006,164.,7.8,17.0,243.,43.99,75.7,36.82,51.15,0.00,4.56
153,1/27/14 14:00:00,29.400,9.4,-0.204,0.006,222.,10.7,22.4,241.,44.22,72.8,36.07,49.78,0.00,4.56
154,1/27/14 14:15:00,29.409,7.6,-0.204,0.006,291.,9.6,21.9,268.,44.53,69.3,35.11,49.33,0.00,4.56
155,1/27/14 14:30:00,29.427,7.6,-0.204,0.006,111.,10.7,22.4,279.,40.39,66.7,30.20,48.27,0.00,4.56
156,1/27/14 14:45:00,29.453,5.9,-0.204,0.006,243.,12.5,22.4,310.,38.37,67.3,28.49,46.62,0.00,4.56
157,1/27/14 15:00:00,29.477,5.9,-0.204,0.006,96.,8.7,17.4,310.,36.99,66.0,26.71,45.27,0.00,4.56
158,1/27/14 15:15:00,29.492,5.9,-0.204,0.006,93.,8.3,15.0,295.,36.70,64.7,25.95,44.13,0.00,4.56
159,1/27/14 15:30:00,29.500,5.9,-0.204,0.006,64.,7.2,16.1,284.,36.46,62.9,25.05,43.27,0.00,4.56
160,1/27/14 15:45:00,29.515,5.3,-0.204,0.006,22.,10.3,21.5,264.,35.58,60.7,23.36,42.03,0.00,4.54
161,1/27/14 16:00:00,29.536,5.3,-0.204,0.006,13.,10.1,22.8,284.,34.07,60.9,22.01,41.41,0.00,4.49
162,1/27/14 16:15:00,29.557,5.3,-0.204,0.006,9.,11.6,24.8,278.,32.68,60.3,20.46,40.91,0.00,4.48
163,1/27/14 16:30:00,29.574,4.1,-0.204,0.006,3.,10.1,21.5,300.,31.03,60.9,19.13,40.44,0.00,4.48
164,1/27/14 16:45:00,29.595,4.1,-0.204,0.006,1.,10.3,21.5,299.,29.71,56.3,16.07,34.75,0.00,4.48
165,1/27/14 17:00:00,29.610,2.9,-0.204,0.006,1.,10.3,23.3,299.,29.25,52.3,13.95,32.94,0.00,4.46
166,1/27/14 17:15:00,29.622,2.9,-0.204,0.006,1.,10.1,17.9,300.,28.83,47.8,11.53,32.74,0.00,4.46
167,1/27/14 17:30:00,29.633,2.9,-0.204,0.006,1.,10.1,19.0,295.,28.53,44.6,9.70,32.65,0.00,4.46
168,1/27/14 17:45:00,29.648,2.9,-0.204,0.006,1.,9.2,19.9,291.,27.95,39.1,6.28,32.59,0.00,4.46
169,1/27/14 18:00:00,29.660,2.4,-0.204,0.006,1.,9.6,23.3,293.,27.28,35.2,3.40,32.49,0.00,4.44
170,1/27/14 18:15:00,29.672,1.8,-0.204,0.006,1.,10.1,20.4,298.,26.44,35.4,2.77,32.49,0.00,4.44
171,1/27/14 18:30:00,29.684,2.4,-0.204,0.006,1.,10.1,21.9,295.,26.22,35.2,2.44,32.49,0.00,4.44
