id,gh.tray,species,site,has.assigned.cg.spot?,notes,,,,
ACESPI01_WM,4,ACESPI,WM,yes,,,,,
ACESPI02_SH,4,ACESPI,SH,yes,,,,,
ACESPI02_SH,NA,ACESPI,SH,yes,,,,,
ACESPI04_GR,4,ACESPI,GR,yes,,,,,
ACESPI09_SH,4,ACESPI,SH,yes,,,,,
AMECAN03_SH,4,AMECAN,SH,yes,,,,,
AMECAN03_SH,4,AMECAN,SH,yes,,,,,
BETPAP08_GR,3,BETPAP,GR,yes,,,,,
BETPAP08_GR,3,BETPAP,GR,yes,,,,,
BETPAP08_GR,3,BETPAP,GR,yes,,,,,
BETPAP08_GR,3,BETPAP,GR,yes,,,,,
BETPAP09_GR,NA,BETPAP,GR,yes,,,,,
BETPAP16_HF,3,BETPAP,HF,yes,,,,,
BETPAP16_HF,3,BETPAP,HF,yes,,,,,
BETPAP16_HF,3,BETPAP,HF,yes,,,,,
BETPAP16_HF,3,BETPAP,HF,yes,,,,,
BETPAP16_HF,3,BETPAP,HF,yes,,,,,
BETPAP16_HF,3,BETPAP,HF,yes,,,,,
MYRGAL06_WM,4,MYRGAL,WM,yes,replace dead one in plot 8,,,,
MYRGAL04_WM,4,MYRGAL,WM,yes,,,,,
MYRGAL07_GR,4,MYRGAL,GR,yes,,,,,
MYRGAL08_GR,3,MYRGAL,GR,yes,,,,,
MYRGAL08_GR,3,MYRGAL,GR,yes,,,,,
MYRGAL08_GR,3,MYRGAL,GR,yes,,,,,
MYRGAL08_GR,3,MYRGAL,GR,yes,,,,,
SAMRAC08_GR,3,SAMRAC,GR,no,just adding an extra one since 2 already died!,,,,
SAMRAC09_GR,3,SAMRAC,GR,yes,replace dead one in plot 10,,,,
SAMRAC01_GR,3,SAMRAC,GR,yes,replace dead one in plot 10,,,,
SAMRAC07_GR,3,SAMRAC,GR,yes,,,,,
SAMRAC02_GR,2,SAMRAC,GR,yes,,,,,
SORAME01_SH,3,SORAME,SH,yes,replace dead one in plot 10,,,,
SORAME03_SH,5,SORAME,SH,yes,,,,,
SPIALB07_SH,4,SPIALB,SH,yes,,,,,
SPIALB08_SH,4,SPIALB,SH,yes,,,,,
SPIALB05_WM,5,SPIALB,WM,yes,,,,,
SPIALB04_WM,NA,SPIALB,WM,yes,,,,,
SPIALB02_WM,NA,SPIALB,WM,yes,,,,,
SPIALB04_WM,NA,SPIALB,WM,yes,,,,,
SPIALB04_SH,NA,SPIALB,SH,no,,,,,
SPIALB09_SH,3,SPIALB,SH,no,,,,,
SPIALB05_WM,5,SPIALB,WM,no,,,,,
SPIALB04_WM,NA,SPIALB,WM,no,,,,,
SPIALB09_GR,NA,SPIALB,GR,no,,,,,
SPIALB05_GR,NA,SPIALB,GR,no,,,,,
SPIALB12_HF,NA,SPIALB,HF,no,,,,,
SPIALB04_HF,NA,SPIALB,HF,no,,,,,
SPITOM01_GR,3,SPITOM,GR,no,,,,,
SPITOM02_GR,NA,SPITOM,GR,no,,,,,
SPITOM99_SH,3,SPITOM,SH,no,,,,,
SPITOM99_SH,3,SPITOM,SH,no,,,,,
SPITOM01_GR,3,SPITOM,GR,yes,,,,,
SPITOM01_GR,3,SPITOM,GR,yes,,,,,
SPITOM01_GR,3,SPITOM,GR,yes,,,,,
SPITOM02_GR,NA,SPITOM,GR,yes,,,,,
SPITOM02_GR,NA,SPITOM,GR,yes,,,,,
SPITOM02_GR,NA,SPITOM,GR,yes,,,,,
SPITOM99_SH,3,SPITOM,SH,yes,,,,,
SPITOM99_SH,3,SPITOM,SH,yes,,,,,
SPITOM99_SH,3,SPITOM,SH,yes,,,,,
SPITOM99_SH,3,SPITOM,SH,yes,,,,,
SPITOM99_SH,3,SPITOM,SH,yes,,,,,
SPITOM99_SH,3,SPITOM,SH,yes,,,,,
SPITOM04_WM,3,SPITOM,WM,no,,,,,
SPITOM02_WM,3,SPITOM,WM,no,,,,,
SPITOM09_HF,NA,SPITOM,HF,no,,,,,
SPITOM06_HF,NA,SPITOM,HF,no,,,,,
VIBCAS07_HF,4,VIBCAS,HF,yes,,,,,
ALNINC02_HF,NA,ALNINC,HF,no,,,,,
ALNINC07_HF,4,ALNINC,HF,no,,,,,
ALNINC01_WM,4,ALNINC,WM,no,,,,,
ALNINC01_GR,4,ALNINC,GR,no,,,,,
ALNINC11_GR,5,ALNINC,GR,no,,,,,
ALNINC01_SH,3,ALNINC,SH,no,,,,,
ALNINC05_SH,4,ALNINC,SH,no,,,,,
ALNINC08_GR,NA,ALNINC,GR,yes,replace dead one in plot 5,,,,
ALNINC10_GR,4,ALNINC,GR,yes,replace dead one in plot 6,,,,
ALNINC11_GR,4,ALNINC,GR,no,just adding an extra one since 2 already died!,,,,
BETALL08_WM,5,BETALL,WM,no,,,,,
BETALL08_WM,NA,BETALL,WM,no,,,,,
BETALL13_GR,5,BETALL,GR,no,,,,,
BETALL14_GR,5,BETALL,GR,no,,,,,
BETALL02_SH,4,BETALL,SH,no,,,,,
BETALL05_SH,4,BETALL,SH,no,,,,,
BETALL09_SH,4,BETALL,SH,yes,replace dead one in plot 9,,,,
BETPOP03_HF,5,BETPOP,HF,no,,,,,
BETPOP01_HF,5,BETPOP,HF,no,,,,,
BETPOP09_WM,NA,BETPOP,WM,no,,,,,
BETPOP08_WM,NA,BETPOP,WM,no,,,,,
BETPOP05_GR,NA,BETPOP,GR,no,,,,,
BETPOP03_GR,4,BETPOP,GR,no,,,,,
DIELON01_HF,4,DIELON,HF,no,,,,,
DIELON02_HF,NA,DIELON,HF,no,,,,,
DIELON05_GR,5,DIELON,GR,no,some DIELON GR also available in GH5,,,,
DIELON08_GR,5,DIELON,GR,no,some DIELON GR also available in GH5,,,,
DIELON01_SH,4,DIELON,SH,no,,,,,
DIELON02_SH,3,DIELON,SH,no,,,,,
DIELONXX_GR,,DIELON,GR,yes,"in GH5, according to Kea's email; replaces dead 1 in plot 10",,,,
DIELONXX_WM,,DIELON,WM,yes,"in GH5, according to Kea's email",,,,
DIELONXX_WM,,DIELON,WM,yes,"in GH5, according to Kea's email",,,,
DIELONXX_WM,,DIELON,WM,yes,"in GH5, according to Kea's email",,,,
DIELONXX_WM,,DIELON,WM,yes,"in GH5, according to Kea's email",,,,
VIBCAS06_WM,NA,VIBCAS,WM,no,,,,,
VIBCAS10_WM,5,VIBCAS,WM,no,,,,,
