ID,Number,Notes,Used,Plot,Sub,Location
ACEPEN05.WM,12,,,,,GH07 T2R2&3
ACEPEN06.WM,9,,,,,
ACEPEN08.WM,1,,TOTAL CHECK,Plot1,ACEPEN09.WM,GH07 T2 R1
ACEPEN12.HF,10,,,,,
ACEPSI02.SH,1,,,,,
ACESPI01.WM,1,,,,,
ACESPI01.WM,1,,,,,
ACESPI02.SH,2,,,,,
ACESPI04.GR,1,,,,,
ACESPI06.GR,1,,,,,
ACESPI06.SH,2,,,,,
ACESPI08.GR,2,,,,,
ACESPI09.SH,2,,,,,
ALINNC07.SH,1,,,,,
ALNINC01.GR,2,,,,,
ALNINC01.HF,2,,,,,
ALNINC01.HF,3,,,,,
ALNINC01.SH,1,,1 CHECK,Plot2,ALNINC01.SH,GH09 T3R1
ALNINC01.WM,8,,,,,
ALNINC02.HF,4,,,,,
ALNINC02.HF,2,,,,,
ALNINC02.HF,3,,,,,
ALNINC02.SH,3,,,,,
ALNINC02.WM,5,,,,,
ALNINC03.SH,5,,1 CHECK,Plot2,ALNINC03.SH,GH07 T2R2
ALNINC04.SH,1,,,,,
ALNINC04.SH,1,,,,,
ALNINC05.HF,2,,1 CHECK,Plot3,ALNINC05.HF,RB02
ALNINC05.HF,3,,,,,
ALNINC05.SH,8,,,,,
ALNINC05.SH,5,,1 CHECK,Plot1,ALNINC05.SH,RB02
ALNINC05.WM,6,,1 CHECK,Plot3,ALNINC08.WM,GH07 T2R2
ALNINC06.HF,2,,,,,
ALNINC06.HF,2,,,,,
ALNINC07.GR,12,,,,,
ALNINC07.SH,2,,,,,
ALNINC07.SH,8,,,,,
ALNINC08.GR,8,,1 CHECK,Plot3,ALNINC09.GR,GH07 T2R2
ALNINC08.HF,2,,,,,
ALNINC08.HF,3,,,,,
ALNINC08.SH,2,,,,,
ALNINC08.SH,1,,,,,
ALNINC09.HF,3,,,,,
ALNINC09.HF,3,,,,,
ALNINC10.GR,4,,,,,
ALNINC11.GR,9,,,,,
AMECAN01.WM,1,,1 CHECK,Plot2,AMECAN01.WM,GH09 T3R1
AMECAN02.SH,1,,,,,
AMECAN03.GR,2,,,,,
AMECAN03.SH,1,,,,,
AMECAN04.SH,2,,,,,
AMECAN06.GR,2,,,,,
AMECAN10.GR,12,,,,,
AROMEL01.WM,1,,,,,
AROMEL02.WM,4,,,,,
AROMEL03.WM,1,,1 CHECK,Plot4,AROMEL03.WM,GH07 T2R3
AROMEL04.HF,6,,,,,
AROMEL05.WM,5,,1 CHECK,Plot4,AROMEL05.WM,GH07 T2R3
AROMEL07.WM,2,,,,,
AROMEL08.HF,1,,,,,
AROMEL08.HF,2,,1 CHECK,Plot4,AROMEL07.HF,RB02
AROMEL10.HF,7,,1 CHECK,Plot4,AROMEL09.HF,RB02
AROMEL10.HF,3,,,,,
AROMEL12.HF,5,,,,,
AROMEL13.HF,5,,,,,
BETALL09.SH,2,,1 CHECK,Plot2,BETALL09.SH,GH07 T2R3
BETALL02.SH,5,,,,,
BETALL04.SH,6,,,,,
BETALL05.SH,3,,,,,
BETALL08.WM,10,,,,,
BETALL09.SH,2,,,,,
BETALL09.WM,5,,,,,
BETALL12.GR,7,,1 CHECK,Plot1,BETALL06.GR,GH07 T2R2
BETALL13.GR,7,,1 CHECK,Plot2,BETALL04.GR,GH07 T2R2
BETALL14.GR,6,,1 CHECK,Plot2,BETALL08.GR,GH07 T2R1&2
BETALL15.GR,5,,1 CHECK,Plot2,BETALL01.GR,GH07 T2R3
BETPAP01.SH,3,,3 CHECK,"Plot1,2",BETPAP05.SH & BETPAP01.SH & BETPAP04.SH,GH07 T2R3
BETPAP05.GR,5,,1 CHECK,Plot1,BETPAP06.GR,GH07 T2R1 & T4R1
BETPAP06.HF,2,,1 CHECK,Plot2,,
BETPAP08.GR,10,,,,,
BETPAP16.HF,7,,1 CHECK,Plot1,BETPAP03.HF,GH09 T4R1
